date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
05/02/2017,NYY,TOR,11,5,-180,+165
05/02/2017,WSH,ARI,3,6,-142,+131
05/02/2017,MIA,TB,1,3,-120,+111
05/02/2017,DET,CLE,5,2,+116,-126
05/02/2017,BOS,BAL,5,2,-222,+203
05/02/2017,CIN,PIT,3,12,-146,+135
05/02/2017,ATL,NYM,9,7,+102,-110
05/02/2017,CHC,PHI,8,3,-218,+199
05/02/2017,MIN,OAK,9,1,-127,+117
05/02/2017,HOU,TEX,8,7,-164,+151
05/02/2017,STL,MIL,2,1,-191,+175
05/02/2017,KC,CWS,0,6,-106,-102
05/02/2017,SD,COL,6,2,-109,+101
05/02/2017,LAD,SF,13,5,-171,+157
05/02/2017,SEA,LAA,4,6,-136,+126
